project,description,version,developers,url,year,licenses,license urls,dependency
Activity,Provides the base Activity subclass and the relevant hooks to build a composable structure on top.,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity:1.1.0
Activity,Provides the base Activity subclass and the relevant hooks to build a composable structure on top.,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.savedstate:savedstate:1.0.0
Android AppCompat Library v7,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat:1.2.0
Android Arch-Common,Android Arch-Common,2.1.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-common:2.1.0
Android Arch-Runtime,Android Arch-Runtime,2.1.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-runtime:2.1.0
Android ConstraintLayout,ConstraintLayout for Android,2.0.4,The Android Open Source Project,http://tools.android.com,2007,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout:2.0.4
Android ConstraintLayout Solver,Solver for ConstraintLayout,2.0.4,The Android Open Source Project,http://tools.android.com,2007,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout-solver:2.0.4
Android Lifecycle LiveData,Android Lifecycle LiveData,2.0.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata:2.0.0
Android Lifecycle LiveData Core,Android Lifecycle LiveData Core,2.2.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core:2.2.0
Android Lifecycle Runtime,Android Lifecycle Runtime,2.2.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime:2.2.0
Android Lifecycle ViewModel,Android Lifecycle ViewModel,2.2.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel:2.2.0
Android Lifecycle ViewModel with SavedState,Android Lifecycle ViewModel,2.2.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-savedstate:2.2.0
Android Lifecycle-Common,Android Lifecycle-Common,2.2.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-common:2.2.0
Android Navigation Common,Android Navigation-Common,2.3.4,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-common:2.3.4
Android Navigation Fragment,Android Navigation-Fragment,2.3.4,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-fragment:2.3.4
Android Navigation Runtime,Android Navigation-Runtime,2.3.4,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-runtime:2.3.4
Android Navigation UI,Android Navigation-UI,2.3.4,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-ui:2.3.4
Android Resources Library,The Resources Library is a static library that you can add to your Android application in order to use resource APIs that backport the latest APIs to older versions of the platform. Compatible on devices running API 14 or later.,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat-resources:1.2.0
Android Support AnimatedVectorDrawable,Android Support AnimatedVectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable-animated:1.1.0
Android Support CardView v7,Android Support CardView v7,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cardview:cardview:1.0.0
Android Support DynamicAnimation,Physics-based animation in support library, where the animations are driven by physics force. You can use this Animation library to create smooth and realistic animations.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.dynamicanimation:dynamicanimation:1.0.0
Android Support ExifInterface,Android Support ExifInterface,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2016,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.exifinterface:exifinterface:1.2.0
Android Support Library Annotations,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs.,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2013,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation:1.1.0
Android Support Library collections,Standalone efficient collections.,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection:1.1.0
Android Support Library compat,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core:1.3.1
Android Support Library Coordinator Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.coordinatorlayout:coordinatorlayout:1.1.0
Android Support Library core utils,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.legacy:legacy-support-core-utils:1.0.0
Android Support Library Cursor Adapter,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cursoradapter:cursoradapter:1.0.0
Android Support Library Custom View,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview:1.1.0
Android Support Library Document File,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.documentfile:documentfile:1.0.0
Android Support Library Drawer Layout,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.1.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.drawerlayout:drawerlayout:1.1.1
Android Support Library fragment,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.2.4,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment:1.2.4
Android Support Library Interpolators,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.interpolator:interpolator:1.0.0
Android Support Library loader,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.loader:loader:1.0.0
Android Support Library Local Broadcast Manager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.localbroadcastmanager:localbroadcastmanager:1.0.0
Android Support Library Print,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.print:print:1.0.0
Android Support Library View Pager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager:viewpager:1.0.0
Android Support RecyclerView v7,Android Support RecyclerView v7,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2014,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.recyclerview:recyclerview:1.1.0
Android Support VectorDrawable,Android Support VectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable:1.1.0
Android Transition Support Library,Android Transition Support Library,1.3.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2016,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.transition:transition:1.3.0
AndroidX Widget ViewPager2,AndroidX Widget ViewPager2,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2017,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager2:viewpager2:1.0.0
base,null,1.0.6,null,null,null,null,null,com.oplus.ocs:base:1.0.6
CameraButton,Instagram-like button for taking photos or recording videos,2.0.1,Artem Hluhovskyi,https://github.com/hluhovskyi/CameraButton,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.hluhovskyi.camerabutton:camerabutton:2.0.1
CircleImageView,A fast circular ImageView for Android,3.1.0,Henning Dodenhof,https://github.com/hdodenhof/CircleImageView,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,de.hdodenhof:circleimageview:3.1.0
Experimental annotation,Java annotation for use on unstable Android API surfaces. When used in conjunction with the Experimental annotation lint checks, this annotation provides functional parity with Kotlin's Experimental annotation.,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-experimental:1.0.0
Floating Action Button Library,Floating Action Button implementation for Android,1.6.4,Dmytro Tarianyk,https://github.com/Clans/FloatingActionButton,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.github.clans:fab:1.6.4
Glide,A fast and efficient image loading library for Android focused on smooth scrolling.,4.12.0,Sam Judd,https://github.com/bumptech/glide,null,"Simplified BSD License,The Apache Software License, Version 2.0","http://www.opensource.org/licenses/bsd-license,http://www.apache.org/licenses/LICENSE-2.0.txt",com.github.bumptech.glide:glide:4.12.0
Glide Annotations,A set of annotations for configuring Glide.,4.12.0,Sam Judd,https://github.com/bumptech/glide,null,"Simplified BSD License,The Apache Software License, Version 2.0","http://www.opensource.org/licenses/bsd-license,http://www.apache.org/licenses/LICENSE-2.0.txt",com.github.bumptech.glide:annotations:4.12.0
Glide Disk LRU Cache Library,A cache that uses a bounded amount of space on a filesystem. Based on Jake Wharton's tailored for Glide.,4.12.0,Sam Judd,https://github.com/bumptech/glide,null,"Simplified BSD License,The Apache Software License, Version 2.0","http://www.opensource.org/licenses/bsd-license,http://www.apache.org/licenses/LICENSE-2.0.txt",com.github.bumptech.glide:disklrucache:4.12.0
Glide GIF Decoder Library,Implementation of GifDecoder that is more memory efficient to animate for Android devices.,4.12.0,Sam Judd,https://github.com/bumptech/glide,null,"Simplified BSD License,The Apache Software License, Version 2.0","http://www.opensource.org/licenses/bsd-license,http://www.apache.org/licenses/LICENSE-2.0.txt",com.github.bumptech.glide:gifdecoder:4.12.0
Lottie,Lottie is an animation library that renders Adobe After Effects animations natively in realtime.,3.6.1,Airbnb,https://github.com/airbnb/lottie-android,2017,null,null,com.airbnb.android:lottie:3.6.1
Material Components for Android,Material Components for Android is a static library that you can add to your Android application in order to use APIs that provide implementations of the Material Design specification. Compatible on devices running API 14 or later.,1.3.0,The Android Open Source Project,https://github.com/material-components/material-components-android,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.android.material:material:1.3.0
Okio,null,1.17.4,null,null,null,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.okio:okio:1.17.4
permissionsdispatcher,A declarative API to handle Android runtime permissions.,4.8.0,Shintaro Katafuchi,https://github.com/permissions-dispatcher/PermissionsDispatcher,2015,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.github.permissions-dispatcher:permissionsdispatcher:4.8.0
permissionsdispatcher-annotation,A declarative API to handle Android runtime permissions.,4.8.0,Shintaro Katafuchi,https://github.com/permissions-dispatcher/PermissionsDispatcher,2015,The Apache Software License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.github.permissions-dispatcher:permissionsdispatcher-annotation:4.8.0
VersionedParcelable,Provides a stable but relatively compact binary serialization format that can be passed across processes or persisted safely.,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.versionedparcelable:versionedparcelable:1.1.0
viewbinding,null,4.1.2,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.databinding:viewbinding:4.1.2